id,date,primary_type,description,latitude,longitude
2efffc0b9c,2018-08-13 18:04:00,THEFT,OVER $500,41.91241511452533,-87.63984049887584
d645ce560f,2021-02-14 08:26:00,THEFT,$500 AND UNDER,42.033574381465755,-87.65856976210124
fdae0912ca,2023-12-23 10:41:00,THEFT,OVER $500,41.992911122867014,-87.76453389029245
d71312f0a4,2019-03-28 02:02:00,CRIMINAL DAMAGE,TO PROPERTY,41.61593522102248,-87.73571622068499
1251144b33,2019-03-24 07:28:00,NARCOTICS,POSS: HEROIN(WHITE),41.9434406113397,-87.76740073796611
9e453c3e55,2022-11-03 10:24:00,NARCOTICS,POSS: HEROIN(WHITE),41.95350381812371,-87.90589756560459
7a9141a608,2020-05-30 16:33:00,BURGLARY,UNLAWFUL ENTRY,41.69408159100287,-87.80722194022162
60b0575afa,2021-12-21 08:08:00,ASSAULT,SIMPLE,41.76442134648738,-87.78567854540167
ca942622ad,2016-04-30 12:06:00,THEFT,$500 AND UNDER,41.847928975468825,-87.55751908557885
a4a42c6a58,2020-01-05 04:13:00,CRIMINAL DAMAGE,TO PROPERTY,41.86515099364192,-87.68229562886847
c6c7749068,2020-01-10 05:01:00,NARCOTICS,POSS: HEROIN(WHITE),41.88511221255573,-87.8167008586066
78ccefbefe,2020-11-05 05:52:00,ASSAULT,SIMPLE,41.977241464776775,-87.88366117275014
3689819cee,2021-07-04 07:05:00,ASSAULT,SIMPLE,41.71336172999343,-87.82428347053649
e10f335129,2020-04-17 22:03:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.97564336311569,-87.86262008589986
a56a6f1337,2023-03-12 13:09:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.81832446292022,-87.55223409048546
27a618b99b,2019-01-21 04:47:00,NARCOTICS,POSS: HEROIN(WHITE),41.76359272056558,-87.56234549744184
1e07674801,2021-12-13 08:39:00,ASSAULT,SIMPLE,41.65252393589689,-87.86020960495122
27c1c6651d,2019-05-28 21:02:00,BURGLARY,UNLAWFUL ENTRY,41.66415940560498,-87.70667350596075
c17beff602,2021-02-14 03:34:00,NARCOTICS,POSS: HEROIN(WHITE),41.870480037735284,-87.61970112041077
3195ec65b2,2016-05-17 04:23:00,BURGLARY,UNLAWFUL ENTRY,41.84591890292683,-87.6802509475823
6283ee5b2c,2022-06-03 11:22:00,BURGLARY,UNLAWFUL ENTRY,41.84221310216391,-87.91790740971864
98d89d94c5,2016-01-23 22:13:00,BATTERY,SIMPLE,41.61002857305586,-87.68841463547471
c50b77cf36,2020-07-18 22:48:00,THEFT,OVER $500,41.911851691311924,-87.92760320354827
d710fc56ff,2020-08-24 03:02:00,ASSAULT,AGGRAVATED,41.856220518815036,-87.76647164292132
8848dffddc,2016-04-04 15:12:00,CRIMINAL DAMAGE,TO PROPERTY,41.78849387135058,-87.91206594624548
06929e25ba,2019-08-07 17:16:00,NARCOTICS,POSS: HEROIN(WHITE),41.960567445324344,-87.8490485975492
5db237737b,2020-12-12 15:34:00,BURGLARY,UNLAWFUL ENTRY,41.84746968785501,-87.71505507825933
2ce5b293ee,2016-12-23 21:45:00,THEFT,$500 AND UNDER,41.681976982715284,-87.94350723266673
1de17ec7cc,2019-01-25 08:13:00,THEFT,$500 AND UNDER,41.81556652484838,-87.94448413921518
548bcc0285,2022-02-09 12:18:00,NARCOTICS,POSS: HEROIN(WHITE),41.87024496698523,-87.52352350710179
e355532434,2022-08-18 08:52:00,THEFT,OVER $500,41.688641317615016,-87.65025964788745
3d559ffcab,2023-07-13 20:17:00,CRIMINAL DAMAGE,TO VEHICLE,42.03551123872891,-87.91935367565328
72c233fb09,2019-12-28 00:09:00,THEFT,OVER $500,41.81669208675752,-87.70182253142416
c5b7bd9546,2023-12-12 02:12:00,ASSAULT,AGGRAVATED,41.95282281979446,-87.69841802825533
b8e0e13087,2021-04-11 23:39:00,THEFT,OVER $500,41.901218298877325,-87.60247142127491
5f487d968c,2016-03-24 14:57:00,NARCOTICS,POSS: HEROIN(WHITE),41.938313388868984,-87.84511736547965
dd80a3f952,2021-08-30 10:54:00,ASSAULT,SIMPLE,42.036025236798984,-87.84933702369432
56cec2f286,2023-01-09 15:32:00,NARCOTICS,POSS: HEROIN(WHITE),41.751875149189445,-87.69035951592387
26e6707982,2023-04-27 15:51:00,BATTERY,SIMPLE,41.721340217847974,-87.91308542871622
f5da60b824,2022-12-31 03:44:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.87323249819604,-87.67252043396275
4e7580fd34,2019-06-05 15:11:00,CRIMINAL DAMAGE,TO PROPERTY,41.82757756371002,-87.71178386019115
c4ec856e4e,2020-06-14 22:09:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.88456898132815,-87.53137346685982
bf5d337b90,2017-10-16 04:11:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,42.01241241560577,-87.85061930891928
b99d6bb131,2017-10-17 16:48:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.79457922123637,-87.8307769121797
ae80e6247c,2022-05-07 08:02:00,ASSAULT,AGGRAVATED,41.759647113292736,-87.69788419460153
97bac10448,2016-03-12 02:20:00,THEFT,$500 AND UNDER,41.93909407444504,-87.89158894891752
cd206cc0cf,2022-06-10 04:17:00,BATTERY,SIMPLE,41.664853489744935,-87.89497054133662
143da44956,2017-06-21 06:41:00,THEFT,OVER $500,41.61598004781051,-87.68790502224873
c8879a9b29,2021-07-16 09:02:00,THEFT,$500 AND UNDER,41.81326810386059,-87.59990625838057
df1faaacd7,2021-08-09 15:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.93936071810745,-87.93761209350545
3724439571,2017-05-29 16:42:00,THEFT,$500 AND UNDER,41.86981846880539,-87.91703190632383
66fd4323a0,2022-03-29 08:31:00,CRIMINAL DAMAGE,TO VEHICLE,41.686339185828764,-87.75221775413786
497e79de4d,2017-09-23 21:19:00,ASSAULT,SIMPLE,41.840233668795456,-87.57282264156044
9334f57054,2023-09-03 15:15:00,ASSAULT,AGGRAVATED,42.028139723591934,-87.9001641890772
443effdada,2019-06-05 06:59:00,CRIMINAL DAMAGE,TO VEHICLE,41.95640078568187,-87.82352207147721
24e2b5aab5,2016-10-04 04:46:00,BATTERY,SIMPLE,41.915032384287535,-87.77163167975111
6f7470844a,2016-08-17 16:08:00,ASSAULT,AGGRAVATED,41.92567912794274,-87.91209969327039
4b3b0a0690,2022-07-17 11:45:00,BATTERY,SIMPLE,41.60675133340781,-87.6979915385014
7dc029469f,2023-10-23 04:06:00,CRIMINAL DAMAGE,TO PROPERTY,41.67775559393644,-87.63305670202271
9551bde1d8,2018-05-16 18:31:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.89805974257228,-87.8000333693247
b33050bd58,2018-02-16 00:09:00,BURGLARY,FORCIBLE ENTRY,41.69325185631539,-87.67880453450866
2389f233bc,2017-02-12 03:26:00,THEFT,OVER $500,41.89267160278405,-87.51342764579533
e384d36193,2016-01-27 09:02:00,CRIMINAL DAMAGE,TO PROPERTY,41.69209658573948,-87.53740107173925
5f39d14780,2021-10-01 15:00:00,BATTERY,SIMPLE,41.82538162383898,-87.90798578019633
799c960c98,2023-12-07 06:09:00,ASSAULT,SIMPLE,41.815457580536005,-87.58769382726636
5f7a60169a,2020-01-06 21:09:00,BURGLARY,UNLAWFUL ENTRY,41.71017094376575,-87.8790848712895
555ba0e00a,2021-06-05 09:24:00,THEFT,$500 AND UNDER,41.97316847635391,-87.66470685327697
3daeca29e3,2020-03-16 06:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.93726828097154,-87.8597553714058
821ec60444,2021-01-22 02:41:00,CRIMINAL DAMAGE,TO PROPERTY,42.00380286253769,-87.66099412694471
82767a2490,2020-01-31 01:39:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.958870350280634,-87.72305059027622
da8c03b4dc,2022-08-01 08:32:00,BURGLARY,UNLAWFUL ENTRY,41.71254839476311,-87.81171030967019
e51fe6a3d6,2019-03-08 05:09:00,THEFT,OVER $500,41.607445211548814,-87.74586509289357
4a10bebff7,2017-08-04 02:13:00,CRIMINAL DAMAGE,TO VEHICLE,41.89799858124115,-87.5623225798008
647027d7e7,2017-11-23 18:48:00,BATTERY,SIMPLE,41.74939241179467,-87.86384360589449
aace9f1c78,2017-11-26 09:29:00,THEFT,$500 AND UNDER,41.8807838311886,-87.58586105560322
7690e3c79a,2016-04-06 03:46:00,NARCOTICS,POSS: HEROIN(WHITE),41.88847397236162,-87.77040568815619
32527c4ace,2018-05-27 11:41:00,BATTERY,SIMPLE,42.02741256742228,-87.50663284436452
d971fcb792,2020-11-05 13:56:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.75806610724808,-87.50170521221648
65ac8fcd24,2017-08-30 03:12:00,BURGLARY,UNLAWFUL ENTRY,41.95238361043778,-87.58890034116841
4bbfce3d46,2022-08-05 22:07:00,CRIMINAL DAMAGE,TO PROPERTY,42.00477745376544,-87.82136706154317
046c657b9b,2018-08-27 17:26:00,ASSAULT,AGGRAVATED,41.752801559052635,-87.84165179922212
7e0c259f27,2023-07-18 22:30:00,ASSAULT,SIMPLE,41.88143831609304,-87.7552715446685
fd3f96cdd8,2018-09-02 08:07:00,ASSAULT,SIMPLE,41.789929855354956,-87.84356697310963
49edc9f827,2019-01-10 01:37:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.98765238011739,-87.65257373448928
947647bb24,2021-11-24 06:37:00,NARCOTICS,POSS: HEROIN(WHITE),41.612350508269564,-87.51956603397318
b01e964c62,2017-06-29 20:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.61774347348916,-87.57940800576951
b25cde6c33,2021-11-20 15:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.673843595445675,-87.84922579607932
f18ba2bd2c,2018-10-16 06:31:00,BURGLARY,UNLAWFUL ENTRY,41.95208615736969,-87.8363721969193
a8a364887b,2018-10-12 15:25:00,BATTERY,SIMPLE,41.92298191579437,-87.83984598323795
abb8d2984f,2020-07-06 01:53:00,BURGLARY,UNLAWFUL ENTRY,41.719984880642656,-87.58400361158495
049ed9b26d,2017-05-13 01:55:00,THEFT,OVER $500,41.70102785123469,-87.73435643965571
bb860d067d,2022-05-04 13:52:00,THEFT,$500 AND UNDER,41.85365599762522,-87.84926109581227
eccaff6fe6,2016-10-12 04:06:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.65096429923809,-87.71254298388679
c5f46df8fd,2018-06-23 16:56:00,BURGLARY,UNLAWFUL ENTRY,41.7158608334949,-87.92172369893693
1649d4cb82,2016-03-14 14:34:00,ASSAULT,SIMPLE,41.96981747526052,-87.74408700697994
cd4dc0adac,2023-07-11 08:11:00,NARCOTICS,POSS: HEROIN(WHITE),41.67743685039929,-87.50081745630689
4e607a6a01,2019-03-20 04:12:00,BURGLARY,UNLAWFUL ENTRY,41.956636707056774,-87.5326498184747
7f17904f2c,2022-09-13 07:23:00,BURGLARY,UNLAWFUL ENTRY,41.813732188090796,-87.72148020963127
a27cba644e,2022-11-10 16:22:00,CRIMINAL DAMAGE,TO PROPERTY,41.86757167552455,-87.72065825279495
3576dcdf4e,2019-06-14 15:45:00,THEFT,OVER $500,41.703116565442784,-87.94046719440895
4e748f5c3a,2019-11-01 00:57:00,BURGLARY,FORCIBLE ENTRY,41.7980432513264,-87.77690059807001
3a2579d72a,2018-06-24 11:11:00,NARCOTICS,POSS: HEROIN(WHITE),41.72717530892247,-87.52444978883733
79a55d7c5d,2022-10-06 15:14:00,THEFT,OVER $500,41.86784174488917,-87.55492578804049
c397c2ecab,2016-07-06 04:12:00,ASSAULT,AGGRAVATED,42.001851641550864,-87.66246611604025
a83089630d,2017-07-01 03:40:00,CRIMINAL DAMAGE,TO PROPERTY,41.68840406484408,-87.69430958455762
3289df6be7,2022-01-05 23:55:00,BURGLARY,UNLAWFUL ENTRY,41.64746541199912,-87.93212569743048
3f1ed66206,2018-07-29 21:40:00,THEFT,$500 AND UNDER,42.012276016714644,-87.85895416143005
9c97965eda,2021-06-01 10:55:00,BATTERY,SIMPLE,42.04431246845846,-87.72384085752702
f547b4e845,2020-12-30 13:06:00,BURGLARY,UNLAWFUL ENTRY,42.042076853646144,-87.56540253965753
e950022c6a,2016-05-03 07:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.643313694799375,-87.55001321323687
df2921fb1f,2019-01-29 19:21:00,NARCOTICS,POSS: HEROIN(WHITE),41.67862952356159,-87.70531799627334
86b51f0da4,2020-07-26 14:44:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.8761931175141,-87.52763445711686
415787b7cf,2017-07-16 07:39:00,THEFT,OVER $500,41.80289792198903,-87.81002925461493
3c63c250b3,2019-06-17 17:38:00,BURGLARY,FORCIBLE ENTRY,41.93072695762954,-87.53499772356051
b4e9bd2a8c,2021-05-13 05:58:00,ASSAULT,AGGRAVATED,41.88532532899688,-87.88170875114172
412163c147,2019-04-13 07:14:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.7630104455703,-87.72738107537138
bf5c69e805,2022-01-14 04:44:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.84217438118893,-87.8506519503896
ed401d5555,2016-03-30 21:41:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.94647530338083,-87.52731134310848
39f089280f,2023-07-28 08:24:00,CRIMINAL DAMAGE,TO VEHICLE,41.69173770866619,-87.79779316050373
6e85f66ef1,2022-08-22 16:26:00,ASSAULT,SIMPLE,41.703973706830865,-87.82263158396721
33d1b47f48,2022-10-08 02:33:00,CRIMINAL DAMAGE,TO VEHICLE,41.95233919424205,-87.93850111588044
007fc39e04,2017-07-29 06:41:00,THEFT,OVER $500,41.69132434256491,-87.82750457864957
d0547f6500,2019-05-04 16:05:00,CRIMINAL DAMAGE,TO PROPERTY,41.80740744381982,-87.65343279702219
7678de06ee,2016-02-21 19:06:00,BATTERY,DOMESTIC BATTERY SIMPLE,42.01605257573484,-87.5011526462794
1ca926bfe2,2020-02-23 20:05:00,BURGLARY,FORCIBLE ENTRY,41.604775889165786,-87.73968456251214
9f74532cbe,2019-07-05 07:18:00,THEFT,OVER $500,41.627974805954516,-87.8754691791162
4120601be3,2017-02-18 01:44:00,NARCOTICS,POSS: HEROIN(WHITE),41.6372728279147,-87.79566802177979
31704be905,2023-03-22 18:16:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.9632830941026,-87.7485199496946
2324c0b89a,2020-02-11 02:31:00,NARCOTICS,POSS: HEROIN(WHITE),41.961915410684036,-87.58151475225094
f465e1968c,2022-02-27 10:22:00,NARCOTICS,POSS: HEROIN(WHITE),41.84913545032915,-87.8159274585315
c007c5e55c,2020-03-04 23:16:00,THEFT,$500 AND UNDER,41.668147186218256,-87.89434676685603
266d3f56fa,2019-03-01 16:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.66586818310924,-87.9017735410518
2fc6dc6f32,2018-09-26 17:33:00,ASSAULT,AGGRAVATED,42.0463996056663,-87.55310750664171
c3f32d1540,2018-10-14 16:39:00,BURGLARY,UNLAWFUL ENTRY,41.64899920479669,-87.6221428094425
eb6421dc96,2017-07-02 20:24:00,BATTERY,SIMPLE,41.686895766537646,-87.62282707487334
5de5a42b72,2018-10-11 08:01:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.975137670601065,-87.6402036132483
ac1e29946c,2020-10-21 20:23:00,ASSAULT,AGGRAVATED,41.93650206197199,-87.77498047092737
aae32e5be8,2023-04-12 21:53:00,ASSAULT,AGGRAVATED,41.954744080175914,-87.8754842120615
1bb8d68523,2016-01-14 21:07:00,NARCOTICS,POSS: HEROIN(WHITE),41.65737104329849,-87.79721129221281
fc20071f16,2021-08-07 05:48:00,BATTERY,SIMPLE,41.64476661765667,-87.73821214911493
65448cf7f3,2020-06-22 01:44:00,THEFT,OVER $500,41.66303510142607,-87.81570123172314
d8f35ae70b,2023-09-03 22:48:00,NARCOTICS,POSS: HEROIN(WHITE),41.73886169238298,-87.60362476662817
a95066d6d5,2021-03-06 15:37:00,BURGLARY,UNLAWFUL ENTRY,42.03940676088043,-87.81472382343989
09cc65916f,2020-03-11 07:54:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,42.048046276711574,-87.8904157336646
a0149fe551,2021-11-14 10:16:00,CRIMINAL DAMAGE,TO PROPERTY,41.62896290985418,-87.50833549215226
98b7b32103,2023-10-02 13:25:00,CRIMINAL DAMAGE,TO PROPERTY,41.74792082500068,-87.57767382704391
cd944f941b,2022-08-27 10:41:00,ASSAULT,SIMPLE,41.67777500756791,-87.74791484435003
b42cb93270,2016-08-01 08:48:00,CRIMINAL DAMAGE,TO VEHICLE,42.04208390368747,-87.66539593494915
265b87745c,2020-01-22 06:58:00,ASSAULT,SIMPLE,42.01666657577515,-87.54656754950275
27f6382931,2020-11-14 14:48:00,THEFT,OVER $500,41.674808507596545,-87.73414518890989
e83c6c4b1c,2020-07-27 04:19:00,BATTERY,SIMPLE,41.76718892887233,-87.66646626420825
3d79e5cbe4,2019-01-24 11:04:00,ASSAULT,SIMPLE,41.632560528407346,-87.52838698725847
33b5b9acf4,2017-02-04 10:29:00,BURGLARY,FORCIBLE ENTRY,41.983023365584245,-87.55875370452658
354b58c9db,2020-01-27 16:59:00,NARCOTICS,POSS: HEROIN(WHITE),41.70485979640583,-87.86815963289503
41531c8dab,2021-05-17 08:35:00,BATTERY,SIMPLE,41.83001395761407,-87.93496689918524
ebd641bcda,2018-12-22 14:17:00,NARCOTICS,POSS: HEROIN(WHITE),41.78425494988928,-87.53897553169412
3ddeeb605c,2021-07-13 20:03:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.947510529248426,-87.94252098052029
dd65ae5b7c,2021-09-01 12:48:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.70994112609024,-87.52683274843567
15b3f0e590,2019-08-07 18:38:00,BURGLARY,FORCIBLE ENTRY,41.91558348530149,-87.69362846380582
99e04fb41e,2021-04-30 12:55:00,CRIMINAL DAMAGE,TO PROPERTY,41.98395122282282,-87.79017696059849
9fc613a548,2018-07-30 14:44:00,CRIMINAL DAMAGE,TO PROPERTY,41.89950070271553,-87.93053593951318
2565823e03,2021-05-12 02:52:00,NARCOTICS,POSS: HEROIN(WHITE),41.65737278850704,-87.80545527114651
9c7af0ace1,2018-10-02 04:48:00,CRIMINAL DAMAGE,TO VEHICLE,41.8541078336989,-87.51447383040629
711f7faae2,2020-10-31 09:00:00,THEFT,OVER $500,41.705543463381645,-87.60522271200044
7e6fbee10c,2019-04-29 07:36:00,NARCOTICS,POSS: HEROIN(WHITE),42.021145229121444,-87.65246673391513
96a83a27cd,2022-01-29 04:49:00,ASSAULT,AGGRAVATED,41.95836975315101,-87.80239034079985
d165904606,2019-11-12 10:08:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.83639812023662,-87.72564459202083
3d86584a99,2019-03-26 22:55:00,BATTERY,SIMPLE,41.900676163790656,-87.59560139000527
680ed659a5,2016-02-27 02:05:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.67486538800754,-87.81341381740624
d7c25dce84,2017-10-19 10:13:00,ASSAULT,AGGRAVATED,41.97277676939902,-87.82494332052313
460dbc8df3,2016-06-27 16:51:00,THEFT,$500 AND UNDER,42.02181401070654,-87.9105470998735
1b60ca366a,2016-09-15 00:54:00,CRIMINAL DAMAGE,TO PROPERTY,41.889875440622646,-87.85229809343389
4413c8d698,2023-04-02 17:04:00,CRIMINAL DAMAGE,TO PROPERTY,41.738194819235154,-87.6470444639562
b25a4e6836,2023-06-03 01:33:00,BURGLARY,FORCIBLE ENTRY,41.74621666250033,-87.82798756067957
3768900874,2019-09-18 00:24:00,THEFT,$500 AND UNDER,41.989484503524395,-87.80434428924656
c1599fc55b,2018-06-24 08:52:00,BURGLARY,UNLAWFUL ENTRY,41.7111349517945,-87.92002527783261
6ed3f08002,2022-12-01 01:19:00,NARCOTICS,POSS: HEROIN(WHITE),41.986019557138015,-87.57747533942914
1efbf78ad6,2019-12-21 19:58:00,THEFT,$500 AND UNDER,41.86457324361744,-87.50229072974493
7ffd61cb90,2021-08-24 01:25:00,THEFT,OVER $500,41.629725838421315,-87.91225754789411
b4cb01dcc0,2021-10-01 07:55:00,ASSAULT,SIMPLE,41.7664066940019,-87.59418829335563
3caa2e6225,2016-10-11 08:01:00,ASSAULT,SIMPLE,41.71322037801777,-87.78164244677991
045faf20a8,2016-02-22 17:35:00,ASSAULT,AGGRAVATED,42.020589937977796,-87.9194411953235
d5fcf9ea50,2018-03-05 10:23:00,THEFT,$500 AND UNDER,41.99749860982833,-87.54288647298023
3e529e8b34,2018-09-27 18:34:00,ASSAULT,AGGRAVATED,41.81972847677549,-87.81409882929987
1c086e053f,2023-03-30 00:46:00,ASSAULT,SIMPLE,42.04136586946479,-87.76187977470684
3be9a20e22,2022-06-07 19:21:00,ASSAULT,SIMPLE,42.04098511133906,-87.90935317425131
2df8fce53f,2017-09-06 09:11:00,ASSAULT,AGGRAVATED,41.83762442900185,-87.59055356190363
5711b0937e,2023-01-12 04:46:00,CRIMINAL DAMAGE,TO VEHICLE,41.64904709776025,-87.8229149419151
0c618b9b46,2022-04-08 05:26:00,ASSAULT,AGGRAVATED,41.90544738283394,-87.51346436431396
8cffb30c5c,2021-11-30 12:39:00,NARCOTICS,POSS: HEROIN(WHITE),41.65566049921875,-87.55562186201018
78e861ade1,2023-04-20 06:51:00,THEFT,OVER $500,41.76389850056873,-87.53899439554172
22c39fb9e2,2018-09-28 14:20:00,BURGLARY,UNLAWFUL ENTRY,41.78923923021491,-87.6404041818779
ae2a830b27,2018-09-02 02:21:00,THEFT,OVER $500,41.91739878903902,-87.84730706029652
0cc1a936cb,2021-05-07 10:04:00,NARCOTICS,POSS: HEROIN(WHITE),41.76578028756759,-87.65328017172158
cec88bb24e,2018-04-03 19:28:00,NARCOTICS,POSS: HEROIN(WHITE),41.79991674261558,-87.92393575711114
fe7393fc19,2022-03-15 14:41:00,BURGLARY,UNLAWFUL ENTRY,41.67365816451306,-87.60816913934424
2fab3e4ac0,2019-05-15 19:16:00,NARCOTICS,POSS: HEROIN(WHITE),42.014382537708386,-87.9328153371196
30d45f3834,2022-03-15 11:46:00,CRIMINAL DAMAGE,TO PROPERTY,41.62972015807285,-87.84519201698537
a1ee829a12,2022-03-09 22:13:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.92655363639247,-87.73060978032882
a368552925,2019-01-31 01:40:00,BURGLARY,FORCIBLE ENTRY,41.801369470453736,-87.93014349692443
3b41d355c8,2019-02-09 05:46:00,CRIMINAL DAMAGE,TO VEHICLE,41.91488116084048,-87.70699416225803
08d216bbe7,2019-05-13 07:48:00,CRIMINAL DAMAGE,TO PROPERTY,41.734151985027644,-87.548524895198
939ddbe838,2022-04-11 11:49:00,NARCOTICS,POSS: HEROIN(WHITE),41.74897057799617,-87.8325871851331
6edbf93186,2022-02-05 03:35:00,ASSAULT,AGGRAVATED,41.777174169520414,-87.78952093483376
ae21b101dc,2022-01-16 16:51:00,BURGLARY,FORCIBLE ENTRY,41.60510351904005,-87.6409029857231
351b396b97,2016-03-26 04:34:00,BATTERY,SIMPLE,42.01013691505016,-87.82019304957167
d9648eaa03,2023-05-20 23:39:00,BURGLARY,FORCIBLE ENTRY,41.76328790489422,-87.80615836573607
0d10bd1115,2021-02-06 01:59:00,BURGLARY,UNLAWFUL ENTRY,41.92630327274942,-87.91181093465921
d066da81b7,2021-12-06 20:27:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.72661906536789,-87.84116521641394
815b55a0bd,2021-08-08 17:31:00,THEFT,$500 AND UNDER,41.711657206366205,-87.76917124611954
4dea42bd4c,2018-10-08 21:09:00,BURGLARY,FORCIBLE ENTRY,41.912342189667626,-87.64719366371966
e87255457e,2019-07-04 19:04:00,CRIMINAL DAMAGE,TO PROPERTY,41.749558631996514,-87.73315747093599
c6d234e026,2018-10-07 13:33:00,ASSAULT,AGGRAVATED,41.747153235271064,-87.85934134705008
b3a368ecf1,2023-04-18 07:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.795370185042216,-87.78268836389103
d20c3672c4,2016-05-02 11:47:00,CRIMINAL DAMAGE,TO VEHICLE,41.893369379657635,-87.66750931753681
f06cdf6e45,2016-10-03 02:49:00,BURGLARY,FORCIBLE ENTRY,41.72972314558145,-87.66251720628352
c7dc8927a2,2019-06-05 23:25:00,ASSAULT,SIMPLE,41.65216979407728,-87.6830615022005
